epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.209,1.11745,4.22047,0.01249,0.83365,0.02667,0.36509,0.20785,1.25733,5.60734,0.01631,0.000469328,0.000469328,0.000469328
2,556.813,1.07247,3.37243,0.01207,0.5632,0.59757,0.57563,0.35965,1.20772,4.31832,0.01734,0.000926938,0.000926938,0.000926938
3,751.881,1.15641,2.89129,0.01288,0.45906,0.61694,0.583,0.3871,1.19511,3.61877,0.01639,0.00136568,0.00136568,0.00136568
4,949.869,1.1661,2.60545,0.01269,0.6662,0.74175,0.76048,0.43573,1.4645,2.83701,0.02007,0.00134412,0.00134412,0.00134412
